Name	Anlageklasse	Gewichtung (%)	Kurs	Nominale	Marktwert	Nominalwert	Sektor	ISIN	Börse	Country	Weighting
HINDUSTAN UNILEVER LTD	Aktien	0,38	32,08	198670	6373359	6373359,45	Nichtzyklische Konsumgüter	INE030A01027	National Stock Exchange Of India	Indien	0.00386855073007268
BANK CENTRAL ASIA	Aktien	0,37	2,3	2695000	6202553	6202553,34	Financials	ID1000109507	Indonesia Stock Exchange	Indonesien	0.0037648735239265
AXIS BANK LTD	Aktien	0,34	10,16	558083	5672466	5672466,26	Financials	INE238A01034	National Stock Exchange Of India	Indien	0.00344311719174033
CELLTRION INC	Aktien	0,34	239,15	23415	5599718	5599717,86	Gesundheitsversorgung	KR7068270008	Südkorea Exchange (Stock Market)	Südkorea	0.00339895980847339
POSCO	Aktien	0,34	310,81	18002	5595140	5595139,95	Materialien	KR7005490008	Südkorea Exchange (Stock Market)	Südkorea	0.00339618107345747
UNITED MICRO ELECTRONICS CORP	Aktien	0,33	1,91	2882000	5512306	5512306,03	IT	TW0002303005	Taiwan Stock Exchange	Taiwan	0.00334590190370332
BAJAJ FINANCE LTD	Aktien	0,33	82,1	66575	5465476	5465476,36	Financials	INE296A01024	National Stock Exchange Of India	Indien	0.00331747687048673
ANTA SPORTS PRODUCTS LTD	Aktien	0,32	20,3	263000	5340119	5340118,73	Zyklische Konsumgüter 	KYG040111059	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00324138633222959
LI NING LTD	Aktien	0,31	9,51	543500	5170952	5170952,13	Zyklische Konsumgüter 	KYG5496K1242	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00313870428847104
KIA CORPORATION CORP	Aktien	0,31	79,72	64651	5153781	5153781,18	Zyklische Konsumgüter 	KR7000270009	Südkorea Exchange (Stock Market)	Südkorea	0.00312828173319549
RELIANCE INDUSTRIES GDR REPRESENTI 144A	Aktien	0,3	60,4	83744	5058138	5058137,6	Energie	US7594701077	London Stock Exchange	Indien	0.0030702272575083
DELTA ELECTRONICS INC	Aktien	0,3	10,72	470196	5039632	5039632,33	IT	TW0002308004	Taiwan Stock Exchange	Taiwan	0.00305899478641824
SHENZHOU INTERNATIONAL GROUP LTD	Aktien	0,3	24,44	201600	4927691	4927691,01	Zyklische Konsumgüter 	KYG8087W1015	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00299104778317628
KB FINANCIAL GROUP INC	Aktien	0,29	51,59	94433	4871997	4871996,78	Financials	KR7105560007	Südkorea Exchange (Stock Market)	Südkorea	0.00295724207116245
