	Name	ISIN	Country	Currency	Exchange	Type of Security	Rating	Primary Listing	Industry Classification	Weighting
646	ONCOPEPTIDES	SE0009414576	Schweden	SEK	-	Equity	-	-	Health Care	0.0004860474
647	DEUTZ	DE0006305006	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0004841519
648	AKTIA BANK	FI4000058870	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Financials	0.0004833655
649	M6 METROPOLE TELEVISION	FR0000053225	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Communication Services	0.000482488
650	POWERCELL SWEDEN	SE0006425815	Schweden	SEK	-	Equity	-	-	Industrials	0.0004806063
651	MARR	IT0003428445	Italien	EUR	Milan Stock Exchange	Equity	B1	FTSE Italia All-Share Index	Consumer Staples	0.00047964
652	PFEIFFER VACUUM TECH.	DE0006916604	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0004774112
653	PARADOX INTERACTIVE	SE0008294953	Schweden	SEK	-	Equity	-	-	Communication Services	0.0004762176
654	CATTOLICA ASSICURAZIONI	IT0000784154	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Financials	0.0004746064
655	NEW WORK	DE000NWRK013	Deutschland	EUR	-	Equity	-	DAX Index	Communication Services	0.0004742199
656	CUSTODIAN REIT	GB00BJFLFT45	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0004731797
657	CGG	FR0013181864	Frankreich	EUR	-	Equity	-	-	Energy	0.0004720691
658	LIBERBANK	ES0168675090	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Financials	0.0004719708
659	CORTICEIRA AMORIM	PTCOR0AE0006	Portugal	EUR	Euronext Lisbon	Equity	-	-	Materials	0.0004689282
660	ZEALAND PHARMA	DK0060257814	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Health Care	0.0004686541
661	COLTENE HLDG.	CH0025343259	Schweiz	CHF	-	Equity	-	-	Health Care	0.0004675642
662	SDIPTECH RG-B	SE0003756758	Schweden	SEK	-	Equity	-	-	Industrials	0.0004672195
663	UNIPHAR RG	IE00BJ5FQX74	Irland	EUR	-	Equity	-	-	Health Care	0.000467153
664	SONAE SGPS	PTSON0AM0001	Portugal	EUR	Euronext Lisbon	Equity	-	-	Consumer Staples	0.0004671201
665	DERICHEBOURG	FR0000053381	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Industrials	0.0004630293
666	PROSEGUR COMP. SEGURIDAD	ES0175438003	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Industrials	0.0004626122
667	PREMIER FOODS	GB00B7N0K053	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Staples	0.00046228
668	CAIRN HOMES	IE00BWY4ZF18	Irland	EUR	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0004622292
669	TI FLUID SYSTEMS	GB00BYQB9V88	Vereinigtes Königreich	GBP	-	Equity	-	-	Consumer Discretionary	0.0004605074
670	STORYTEL	SE0007439443	Schweden	SEK	-	Equity	-	-	Communication Services	0.0004602158
671	INWIDO	SE0006220018	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Industrials	0.0004571059
672	INTERSHOP HLDG. BR	CH0273774791	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Real Estate	0.0004565692
673	CIBUS NORDIC RE RG	SE0010832204	Schweden	SEK	-	Equity	-	-	Real Estate	0.0004537146
674	GESTAMP AUTOMOCION	ES0105223004	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Consumer Discretionary	0.0004530171
675	COMPAGNIE D' ENTREPRISES CFE	BE0003883031	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Industrials	0.0004512964
676	AIRTEL AFRICA RG	GB00BKDRYJ47	Vereinigtes Königreich	GBP	-	Equity	-	-	Communication Services	0.0004496204
677	SPIRE HEALTHCARE	GB00BNLPYF73	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Health Care	0.0004493896
678	MARSTON'S	GB00B1JQDM80	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Consumer Discretionary	0.0004492464
679	AT&S	AT0000969985	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Information Technology	0.0004486874
680	BAM GROEP	NL0000337319	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Industrials	0.0004459248
681	FRONTLINE	BMG3682E1921	Bermuda	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Energy	0.0004416603
