	Name	ISIN	Country	Currency	Exchange	Type of Security	Rating	Primary Listing	Industry Classification	Weighting
796	MOLECULAR PARTNERS	CH0256379097	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Health Care	0.0002806391
797	TOD'S	IT0003007728	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Consumer Discretionary	0.0002791647
798	FLEX LNG RG	BMG359472021	Vereinigtes Königreich	NOK	-	Equity	-	-	Energy	0.0002765646
799	SCANDIC HOTELS GR.	SE0007640156	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.0002764023
800	BORUSSIA DORTMUND	DE0005493092	Deutschland	EUR	XETRA	Equity	-	DAX Index	Communication Services	0.0002754656
801	CTT CORREIOS DE PORTUGAL	PTCTT0AM0001	Portugal	EUR	Euronext Lisbon	Equity	-	-	Industrials	0.0002748798
802	AB SCIENCE	FR0010557264	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Health Care	0.0002747273
803	PETROFAC	GB00B0H2K534	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Baa1	FTSE 100 Index	Energy	0.0002736069
804	METROVACESA	ES0105122024	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Real Estate	0.0002722033
805	MATAS A/S	DK0060497295	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Consumer Discretionary	0.0002666316
806	CONTOURGLOBAL	GB00BF448H58	Vereinigtes Königreich	GBP	-	Equity	-	-	Utilities	0.0002660093
807	CELLECTIS	FR0010425595	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Health Care	0.0002647292
808	CRAYON GR. HLDG.	NO0010808892	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Information Technology	0.000264277
809	DOBANK	IT0001044996	Italien	EUR	-	Equity	-	-	Financials	0.0002639218
810	SEDANA MED RG	SE0009947534	Schweden	SEK	-	Equity	-	-	Health Care	0.0002631113
811	STAGECOACH	GB00B6YTLS95	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	Baa2	FTSE 100 Index	Industrials	0.0002627355
812	DNO INTERNATIONAL	NO0003921009	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Energy	0.0002626895
813	KARO BIO AB	SE0007464888	Schweden	SEK	-	Equity	-	-	Health Care	0.0002618532
814	MLP	DE0006569908	Deutschland	EUR	XETRA	Equity	-	DAX Index	Financials	0.0002575685
815	BENETEAU SA	FR0000035164	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Consumer Discretionary	0.0002568138
816	NUMIS CORPORATION	GB00B05M6465	Vereinigtes Königreich	GBP	-	Equity	-	-	Financials	0.0002564239
817	SCANDI STANDARD	SE0005999760	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Staples	0.0002558198
818	HOME24	DE000A14KEB5	Deutschland	EUR	-	Equity	-	-	Consumer Discretionary	0.0002539495
819	PHARMAGEST INTERACT	FR0012882389	Frankreich	EUR	-	Equity	-	-	Health Care	0.0002523163
820	BASILEA PHARMACEUTICA	CH0011432447	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Health Care	0.0002510448
821	TAKKT	DE0007446007	Deutschland	EUR	XETRA	Equity	B1	DAX Index	Consumer Discretionary	0.0002487108
822	ELRINGKLINGER	DE0007856023	Deutschland	EUR	XETRA	Equity	-	DAX Index	Consumer Discretionary	0.0002479493
823	ECONOCOM GR.	BE0974313455	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Information Technology	0.0002460585
824	ADVA OPTICAL NETWORKING	DE0005103006	Deutschland	EUR	XETRA	Equity	B1	DAX Index	Information Technology	0.0002450562
825	BONESUPPORT HLDG.	SE0009858152	Schweden	SEK	-	Equity	-	-	Health Care	0.0002432125
826	IMPREGLIO	IT0003865570	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Industrials	0.0002420207
827	REGIONAL REIT	GG00BYV2ZQ34	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0002416953
828	HEXAGON COMPOSITES	NO0003067902	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Industrials	0.0002383733
829	NOVACYT	FR0010397232	Frankreich	EUR	-	Equity	-	-	Health Care	0.0002377681
830	BOBST GR.	CH0012684657	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0002360782
831	SEMPERIT	AT0000785555	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Industrials	0.0002357965
832	LE NOBLE-AGE	FR0004170017	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Health Care	0.0002354098
833	METALL ZUG	CH0039821084	Schweiz	CHF	-	Equity	-	Swiss Market Index	Health Care	0.0002341946
834	IOMART GROUP	GB0004281639	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Information Technology	0.0002316541
835	BASLER	DE0005102008	Deutschland	EUR	-	Equity	-	-	Information Technology	0.00023149
836	HUNTING	GB0004478896	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Energy	0.0002306007
837	MAIRE TECNIMONT	IT0004931058	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Industrials	0.0002302299
838	BIESSE	IT0003097257	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Industrials	0.0002294878
839	SGL CARBON	DE0007235301	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0002279211
840	LEONTEQ	CH0190891181	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Financials	0.0002273937
841	EL.EN.	IT0005188336	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Health Care	0.0002263641
842	DUNI	SE0000616716	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.0002261729
843	JUVENTUS FC	IT0000336518	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Communication Services	0.0002239902
844	BONHEUR	NO0003110603	Norwegen	NOK	-	Equity	-	-	Industrials	0.0002221635
845	SCHOELLER-BLECKMANN	AT0000946652	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Energy	0.000221194
846	ASCOM N	CH0011339204	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Health Care	0.00022088
847	GRIEG SEAFOOD	NO0010365521	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Consumer Staples	0.0002204445
848	CHARGEURS	FR0000130692	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Consumer Discretionary	0.0002180817
849	SERICA ENERGY RG	GB00B0CY5V57	Vereinigtes Königreich	GBP	-	Equity	-	-	Energy	0.000217607
850	MITHRA PHARMACEUTICALS	BE0974283153	Belgien	EUR	-	Equity	-	-	Health Care	0.0002159357
851	ION BEAM APPLICATIONS	BE0003766806	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Health Care	0.0002145639
852	ASCOPIAVE	IT0004093263	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Utilities	0.0002132896
853	FUNDING CIRCLE	GB00BG0TPX62	Vereinigtes Königreich	GBP	-	Equity	-	-	Financials	0.0002099495
854	ATRESMEDIA CORP.MC	ES0109427734	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Communication Services	0.0002082697
855	VILMORIN ET CIE	FR0000052516	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Consumer Staples	0.0002070385
856	BACTIGUARD HLDG.	SE0005878741	Schweden	SEK	-	Equity	-	-	Health Care	0.0002061601
857	JUDGES SCIENTIFI RG	GB0032398678	Vereinigtes Königreich	GBP	-	Equity	-	-	Industrials	0.0002059616
858	MOBISTAR	BE0003735496	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Communication Services	0.0002053017
859	SOLARPACK CORP TECNOLOGICA	ES0105385001	Spanien	EUR	-	Equity	-	-	Utilities	0.0002032265
860	LIME TECHNOL	SE0011870195	Schweden	SEK	-	Equity	-	-	Information Technology	0.0001998652
861	FINCANTIERI S.P.A.	IT0001415246	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Industrials	0.0001992908
862	MEDIOS	DE000A1MMCC8	Deutschland	EUR	-	Equity	-	-	Health Care	0.000198878
863	ZIGNAGO VETRO	IT0004171440	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Materials	0.0001962842
864	RELIEF THERAP.	CH0100191136	Schweiz	CHF	-	Equity	-	-	Health Care	0.0001958881
865	WILH. WILHELMSEN	NO0010571680	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Industrials	0.0001935194
866	CANTARGIA AB	SE0006371126	Schweden	SEK	-	Equity	-	-	Health Care	0.000193075
867	LAR ESPANA REAL ESTATE SOCIMI	ES0105015012	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Real Estate	0.0001929596
868	EDREAMS ODIGEO	LU1048328220	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Consumer Discretionary	0.0001922162
869	PROSEGUR	ES0105229001	Spanien	EUR	-	Equity	-	-	Industrials	0.0001903566
870	XXL	NO0010716863	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Consumer Discretionary	0.0001902956
871	LEOVEGAS	SE0008091904	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.000189595
872	K-FAST HLDG-B RG	SE0013382355	Schweden	SEK	-	Equity	-	-	Real Estate	0.0001891095
873	KOENIG & BAUER	DE0007193500	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0001868754
874	GAM HLDG.	CH0102659627	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Financials	0.0001829318
875	CALLIDITAS THERAPEUTICS-B	SE0010441584	Schweden	SEK	-	Equity	-	-	Health Care	0.0001806624
876	JOHN MATTSON FASTIGHETSFORETAG	SE0012481364	Schweden	SEK	-	Equity	-	-	Real Estate	0.0001806415
877	BANCA MONTE DEI PASCHI DI SIENA	IT0005218752	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Financials	0.0001797925
878	ELMOS SEMICONDUCTOR	DE0005677108	Deutschland	EUR	XETRA	Equity	-	DAX Index	Information Technology	0.0001797209
879	GUERBET	FR0000032526	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Health Care	0.0001792176
880	SOLGOLD	GB00B0WD0R35	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Materials	0.0001791598
881	DRAEGERWERK ST.	DE0005550602	Deutschland	EUR	XETRA	Equity	-	DAX Index	Health Care	0.0001763126
882	SAGAX (D)	SE0009161052	Schweden	SEK	-	Equity	-	OMX Stockholm 30 Index	Real Estate	0.0001758841
883	IMPLENIA	CH0023868554	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Industrials	0.0001748271
884	ADESSO	DE000A0Z23Q5	Deutschland	EUR	-	Equity	-	-	Information Technology	0.0001747839
885	OHLSON	SE0000584948	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.0001741184
886	GARO	SE0008008262	Schweden	SEK	-	Equity	-	-	Industrials	0.0001737947
887	TF1	FR0000054900	Frankreich	EUR	Euronext Paris	Equity	Baa1	CAC 40 Index	Communication Services	0.000170322
888	BASWARE RG	FI0009008403	Finnland	EUR	-	Equity	-	OMX Helsinki Index	Information Technology	0.0001666906
889	APG SGA	CH0019107025	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Communication Services	0.0001646379
890	STOLT-NIELSEN	BMG850801025	Vereinigtes Königreich	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Industrials	0.0001646244
891	SANLORENZO SPA/AMEGLIA	IT0003549422	Italien	EUR	-	Equity	-	-	Consumer Discretionary	0.0001645312
892	VASTNED RETAIL	NL0000288918	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Real Estate	0.0001640107
893	GROUPE CRIT	FR0000036675	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Industrials	0.000163489
894	BANCA IFIS	IT0003188064	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Financials	0.0001629009
895	BW OFFSHORE	BMG1738J1247	Bermuda	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Energy	0.0001626543
896	ROVIO ENTERTAINMENT	FI4000266804	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Communication Services	0.0001610625
897	BONDUELLE	FR0000063935	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Consumer Staples	0.0001610534
898	CROPENENERGIE	DE000A0LAUP1	Deutschland	EUR	XETRA	Equity	-	DAX Index	Energy	0.0001593196
899	AEDAS HOMES	ES0105287009	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Consumer Discretionary	0.0001587682
900	PNE WIND	DE000A0JBPG2	Deutschland	EUR	-	Equity	-	DAX Index	Industrials	0.0001582933
901	AKKA TECHNOLOGIES	FR0004180537	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Industrials	0.0001576074
902	CORESTATE CAPITAL HLDG.	LU1296758029	Luxemburg	EUR	-	Equity	-	-	Real Estate	0.0001549334
903	CM.COM RG	NL0012747059	Niederlande	EUR	-	Equity	-	-	Information Technology	0.0001545706
904	DANIELI & C. -OFF. MECCAN.	IT0000076502	Italien	EUR	Milan Stock Exchange	Equity	B1	FTSE Italia All-Share Index	Industrials	0.0001514691
905	ADMICOM RG	FI4000251830	Finnland	EUR	-	Equity	-	-	Information Technology	0.0001507786
906	MEDARTIS	CH0386200239	Schweiz	CHF	-	Equity	-	-	Health Care	0.0001463641
907	B&S GROUP RG	LU1789205884	Luxemburg	EUR	-	Equity	-	-	Consumer Discretionary	0.0001446563
908	DATALOGIC	IT0004053440	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Information Technology	0.0001440487
909	ABC ARBITRAGE	FR0004040608	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Financials	0.0001395407
910	BIOARCTIC AB	SE0010323311	Schweden	SEK	-	Equity	-	-	Health Care	0.0001360063
911	AUBAY	FR0000063737	Frankreich	EUR	-	Equity	-	-	Information Technology	0.0001356601
912	BERTRANDT	DE0005232805	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0001354575
913	MANITOU BF	FR0000038606	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Industrials	0.0001354257
914	HORNBACH BAUMARKT	DE0006084403	Deutschland	EUR	XETRA	Equity	-	DAX Index	Consumer Discretionary	0.0001348867
915	HOTEL CHOCOLAT GR.	GB00BYZC3B04	Vereinigtes Königreich	GBP	-	Equity	-	-	Consumer Staples	0.0001338931
916	SMCP	FR0013214145	Frankreich	EUR	-	Equity	-	-	Consumer Discretionary	0.0001336975
917	SAMHALLSBYGGNADSBOLAGET I NORD	SE0011844091	Schweden	SEK	-	Equity	-	-	Real Estate	0.0001311263
918	V ZUG HLDG.	CH0542483745	Schweiz	CHF	-	Equity	-	-	Consumer Discretionary	0.0001307587
919	SYNERGIE	FR0000032658	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Industrials	0.0001300717
920	MBB	DE000A0ETBQ4	Deutschland	EUR	-	Equity	-	-	Industrials	0.0001298745
921	EXASOL	DE000A0LR9G9	Deutschland	EUR	-	Equity	-	-	Information Technology	0.0001292092
922	BAKKAVOR GROUP	GB00BF8J3Z99	Vereinigtes Königreich	GBP	-	Equity	-	-	Consumer Staples	0.0001287156
923	MGI COUTIER	FR0000053027	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Consumer Discretionary	0.0001278249
924	DATAGROUP	DE000A0JC8S7	Deutschland	EUR	-	Equity	-	-	Information Technology	0.0001254952
925	SELVAAG BOLIG	NO0010612450	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Real Estate	0.000125136
926	BRUNEL INTL.	NL0010776944	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Industrials	0.0001225894
927	NORWAY ROYAL SALMON ASA	NO0010331838	Norwegen	NOK	-	Equity	-	-	Consumer Staples	0.0001209804
928	TORM	GB00BZ3CNK81	Vereinigtes Königreich	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Energy	0.0001172357
929	ORIOLA-KD B	FI0009014351	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Health Care	0.0001165976
930	SILENCE THERA RG	GB00B9GTXM62	Vereinigtes Königreich	GBP	-	Equity	-	-	Health Care	0.0001130781
931	AGRANA	AT000AGRANA3	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Consumer Staples	0.0001126133
932	ZUMTOBEL GR.	AT0000837307	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Industrials	0.0001115914
933	COLLECTOR	SE0007048020	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Financials	0.0001067488
934	MONDADORI	IT0001469383	Italien	EUR	-	Equity	-	-	Communication Services	0.0001061804
935	LA DORIA SPA	IT0001055521	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Consumer Staples	0.0001053184
936	FABBRICA ITALIANA LAPIS E AFFINI	IT0004967292	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Industrials	0.000105311
937	IGD - IMMOB. GRANDE DISTR.	IT0005322612	Italien	EUR	-	Equity	-	-	Real Estate	0.0001044826
938	PROMOTORA DE INFORMACIONES	ES0171743901	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Communication Services	0.00010421
939	SIF HLDG.	NL0011660485	Niederlande	EUR	-	Equity	-	-	Industrials	0.0001032082
940	ALLGEIER	DE000A2GS633	Deutschland	EUR	-	Equity	-	-	Information Technology	0.0001021451
941	INNATE PHARMA	FR0010331421	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Health Care	0.0001018866
942	FORFARMERS N.V.	NL0011832811	Niederlande	EUR	Euronext Amsterdam	Equity	-	Amsterdam Exchanges Index	Consumer Staples	0.000100755
943	IMMUNOVIA	SE0006091997	Schweden	SEK	-	Equity	-	-	Health Care	0.0001005674
944	HAFNIA	BMG4233B1090	Singapur	NOK	-	Equity	-	-	Energy	0.0000981414
945	NNIT AS	DK0060580512	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Health Care	0.0000951845
946	GROUPE GUILLIN	FR0012819381	Frankreich	EUR	-	Equity	-	-	Materials	0.0000938535
947	PORR ST.	AT0000609607	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Industrials	0.0000925263
948	BIOCARTIS	BE0974281132	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Health Care	0.0000906213
949	FACC	AT00000FACC2	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Industrials	0.0000894078
951	VAN DE VELDE	BE0003839561	Belgien	EUR	Euronext Brussels	Equity	-	BEL 20 Index	Consumer Discretionary	0.0000869137
952	TAMEDIA	CH0011178255	Schweiz	CHF	-	Equity	-	-	Communication Services	0.0000858556
953	DISTRIB.INTL.DE ALIMENTACION	ES0126775032	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Consumer Staples	0.0000816635
954	OHB TELEDATA	DE0005936124	Deutschland	EUR	-	Equity	-	-	Industrials	0.0000793944
955	BET-AT-HOME.COM	DE000A0DNAY5	Deutschland	EUR	XETRA	Equity	-	DAX Index	Consumer Discretionary	0.0000779833
956	BOIRON	FR0000061129	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Health Care	0.0000770484
957	OCEAN YIELD ASA	NO0010657448	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Energy	0.0000738751
958	BRDR.HARTMANN-B BR	DK0010256197	Dänemark	DKK	-	Equity	-	-	Materials	0.0000710934
959	SALCEF GROUP N	IT0005388266	Italien	EUR	-	Equity	-	-	Industrials	0.000066884
960	ALFA FINL. SOFTWARE HLDG.	GB00BDHXPG30	Vereinigte Staaten	GBP	-	Equity	-	-	Information Technology	0.0000662816
961	GRP EMPR S JOSE BR	ES0180918015	Spanien	EUR	-	Equity	-	-	Industrials	0.0000650453
962	SAES GETTERS	IT0001029492	Italien	EUR	-	Equity	-	-	Information Technology	0.000064505
963	DEVOTEAM	FR0000073793	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Information Technology	0.000062158
964	NACON	FR0013482791	Frankreich	EUR	-	Equity	-	-	Consumer Discretionary	0.0000542927
965	MOTA-ENGIL	PTMEN0AE0005	Portugal	EUR	Euronext Lisbon	Equity	-	-	Industrials	0.0000525835
967	AMCO   ASSET MANAGEMENT	IT0005424962	Italien	EUR	-	Equity	-	-	unknown	0.0000276107
968	BETSSON AB RED	SE0015672266	Schweden	SEK	-	Equity	-	-	unknown	0.0000261665
969	ALMIRALL SA	ES0657097954	Spanien	EUR	-	Right	-	-	unknown	0.0000133509
970	FINABLR PLC	GB00BJ7HMW26	Vereinigtes Königreich	GBP	-	Equity	-	-	Information Technology	0.0000008589
972	AFRICAN MINERALS LTD	BMG0114P1005	Vereinigtes Königreich	USD	-	Equity	-	S&P 500 Index	Materials	0.0000000097
973	PATISSERIE HOLDINGS PLC	GB00BM4NV504	Vereinigtes Königreich	GBP	-	Equity	-	-	Consumer Discretionary	0.0000000035
974	BANCA CARIGE SPA	IT0005428195	Italien	EUR	-	Equity	-	-	unknown	0.0000000025
975	LET S GOWEX S.A	ES0158252033	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Communication Services	0.000000001
976	BIO ON SPA	IT0005056236	Italien	EUR	-	Equity	-	-	Materials	0.0000000004
